office,date,place,total,undervote,total_overvote,first_round_overvote,total_exhausted_by_overvote,total_fully_ranked,ranked2,ranked_winner,two_repeated,three_repeated,total_skipped,irregular,total_exhausted,total_exhausted_not_by_overvote,total_involuntarily_exhausted,effective_ballot_length,minneapolis_undervote,minneapolis_total,total_voluntarily_exhausted,condorcet,come_from_behind,rounds,last5rcv,finalists,winner,exhausted_by_undervote,exhausted_by_repeated_choices,naive_tally,candidates,count_duplicates,any_repeat,validly_ranked_winner,margin_when_2_left,margin_when_winner_has_majority,cvap_totals,asian_ethnic_cvap_totals,black_ethnic_cvap_totals,latin_ethnic_cvap_totals,white_ethnic_cvap_totals,"precinct_estimate(black,precinct_percent_cvap,precinct_participation)","precinct_estimate(black,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(black,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(white,precinct_percent_cvap,precinct_participation)","precinct_estimate(white,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(white,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(latin,precinct_percent_cvap,precinct_participation)","precinct_estimate(latin,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(latin,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(latin,precinct_percent_sov,precinct_participation)","precinct_estimate(latin,precinct_percent_sov,precinct_ranked_finalists)","precinct_estimate(latin,precinct_percent_sov,precinct_overvotes)","precinct_estimate(asian,precinct_percent_cvap,precinct_participation)","precinct_estimate(asian,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(asian,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(asian,precinct_percent_sov,precinct_participation)","precinct_estimate(asian,precinct_percent_sov,precinct_ranked_finalists)","precinct_estimate(asian,precinct_percent_sov,precinct_overvotes)","precinct_estimate(other,precinct_percent_cvap,precinct_participation)","precinct_estimate(other,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(other,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(black,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(black,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(black,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(white,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(white,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(white,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(latin,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(latin,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(latin,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(latin,precinct_percent_sov,precinct_participation)","ethnicity_estimate(latin,precinct_percent_sov,precinct_ranked_finalists)","ethnicity_estimate(latin,precinct_percent_sov,precinct_overvotes)","ethnicity_estimate(asian,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(asian,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(asian,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(asian,precinct_percent_sov,precinct_participation)","ethnicity_estimate(asian,precinct_percent_sov,precinct_ranked_finalists)","ethnicity_estimate(asian,precinct_percent_sov,precinct_overvotes)","ethnicity_estimate(other,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(other,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(other,precinct_percent_cvap,precinct_overvotes)"
City Council,2001,Cambridge,17688,199,749,533,525,443,1352,9524,0,0,866,1414,4041,3516,0,"Counter({3: 2572, 4: 2388, 6: 2247, 5: 2170, 7: 1613, 2: 1352, 1: 1314, 8: 1023, 9: 970, 0: 562, 19: 443, 10: 358, 11: 148, 18: 132, 12: 114, 17: 81, 13: 67, 14: 53, 16: 43, 15: 38})",562,17126,4041,True,False,21,"[[('x4', 'x10', 'x1', 'xf', 'xb', 'x2'), (4478, 2459, 2435, 2369, 2331, 2173)], [('x4', 'x1', 'xf', 'xb', 'x10'), (4836, 3005, 2836, 2713, 2611)], [('x4', 'x1', 'xf', 'xb'), (6241, 3271, 2995, 2838)], [('x4', 'x1', 'xf'), (6654, 4380, 3812)], [('x4', 'x1'), (7415, 6232)]]","('x4', 'x1')",x4,0,3516,"Counter({'x4': 3203, 'xb': 1706, 'x1': 1691, 'x2': 1524, 'x11': 1379, 'xf': 1322, 'x10': 1277, 'xe': 1126, 'xd': 1081, 'xa': 1004, -2: 517, 'x9': 369, 'x7': 338, -1: 287, 'x8': 274, 'x5': 149, 'x6': 147, 'x3': 86, 'x0': 62, 'xc': 61, 'x12': 55, 'x13': 29, 'x14': 1})","{'x17', 'x7', 'x15', 'x3', 'x11', 'x19', 'x1', 'x16', 'x12', 'x5', 'x9', 'xa', 'x18', 'x4', 'x10', 'x0', 'xe', 'x2', 'x6', 'xd', 'xc', 'x1b', 'x8', 'x1a', 'xb', 'xf', 'x13', 'x14'}","Counter({1: 17126, 0: 562})",0,9524,1183,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Council,2003,Cambridge,20958,421,893,641,654,588,1743,10401,0,0,1049,1709,6098,5444,1,"Counter({3: 3177, 4: 2893, 5: 2407, 6: 1914, 2: 1743, 1: 1658, 7: 1487, 9: 1365, 8: 1169, 0: 878, 20: 588, 10: 551, 11: 308, 19: 202, 12: 178, 13: 99, 18: 97, 14: 70, 15: 62, 16: 59, 17: 53})",878,20080,6097,True,False,21,"[[('x5', 'x1', 'x11', 'xc', 'x3', 'xe'), (4570, 3326, 3015, 2544, 2495, 2371)], [('x5', 'x1', 'x11', 'x3', 'xc'), (5024, 3712, 3396, 2931, 2716)], [('x5', 'x1', 'x11', 'x3'), (5331, 4795, 3703, 3475)], [('x1', 'x5', 'x11'), (6137, 5951, 4039)], [('x5', 'x1'), (8008, 6852)]]","('x5', 'x1')",x5,0,5443,"Counter({'x5': 2974, 'x1': 1828, 'x11': 1627, 'x13': 1589, 'xe': 1505, 'x3': 1361, 'xc': 1354, 'x2': 1200, 'xb': 1173, 'xf': 1160, 'xd': 1005, 'x8': 981, 'x0': 723, -2: 629, -1: 498, 'x10': 475, 'x9': 349, 'x12': 175, 'xa': 121, 'x7': 93, 'x4': 63, 'x6': 39, 'x14': 35, 'x15': 1})","{'x17', 'x7', 'x15', 'x1c', 'x3', 'x11', 'x19', 'x1', 'x16', 'x12', 'x5', 'x9', 'xa', 'x18', 'x4', 'x10', 'x0', 'xe', 'x2', 'x6', 'xd', 'xc', 'x1b', 'x8', 'x1a', 'xb', 'xf', 'x13', 'x14'}","Counter({1: 20080, 0: 878})",0,10401,1156,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Committee,2003,Cambridge,20908,1835,651,510,490,1587,3121,10136,0,0,459,974,7063,6573,6,"Counter({3: 4444, 1: 3366, 2: 3121, 4: 2335, 5: 2248, 0: 2210, 8: 1587, 6: 1006, 7: 591})",2210,18698,7057,True,False,10,"[[('x7', 'x4', 'x1', 'x5', 'x3', 'x2'), (4315, 3092, 3051, 2994, 2604, 2367)], [('x7', 'x1', 'x4', 'x5', 'x3'), (4552, 4143, 3176, 3097, 2905)], [('x7', 'x1', 'x4', 'x5'), (5257, 4691, 3597, 3463)], [('x7', 'x1', 'x4'), (6154, 5164, 4885)], [('x7', 'x1'), (8080, 5765)]]","('x7', 'x1')",x7,0,6567,"Counter({'x7': 3807, 'x1': 2863, 'x5': 2683, 'x4': 2583, 'x3': 2315, 'x2': 2261, -1: 1955, 'x6': 1292, 'x0': 552, -2: 501, 'x8': 93, 'x9': 2, 'xa': 1})","{'xd', 'xa', 'x4', 'xc', 'x1', 'x0', 'x8', 'xb', 'x7', 'x2', 'x9', 'x3', 'x5', 'x6'}","Counter({1: 18698, 0: 2210})",0,10136,2315,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 1,2004,San Francisco,30721,1778,242,156,175,19860,3432,17369,0,0,323,555,4781,4606,1457,"Counter({3: 19860, 1: 5495, 2: 3432, 0: 1934})",1934,28787,3324,True,False,6,"[[('x0', 'x4', 'x6', 'x1', 'x5', 'x2'), (11832, 9013, 2878, 2038, 1612, 1397)], [('x0', 'x4', 'x6', 'x1', 'x5'), (12084, 9309, 3159, 2297, 1727)], [('x0', 'x4', 'x6', 'x1'), (12304, 10036, 3417, 2531)], [('x0', 'x4', 'x6'), (12876, 10607, 4062)], [('x0', 'x4'), (14011, 11929)]]","('x0', 'x4')",x0,0,3149,"Counter({'x0': 11791, 'x4': 8959, 'x6': 2859, 'x1': 2003, -1: 1875, 'x5': 1581, 'x2': 1373, -2: 149, 'x3': 131})","{'x4', 'x1', 'x0', 'x2', 'x3', 'x5', 'x6'}","Counter({1: 28787, 0: 1934})",0,17369,2082,2082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 2,2004,San Francisco,39462,4879,202,95,95,18947,4151,26496,0,0,444,634,4974,4879,0,"Counter({3: 18947, 1: 11390, 0: 4974, 2: 4151})",4974,34488,4974,True,False,1,"[[('x3', 'x4', 'x0', 'x2', 'x1'), (21118, 5791, 4235, 1957, 1387)]]","('x3', 'x4', 'x0', 'x2', 'x1')",x3,0,4879,"Counter({'x3': 21013, 'x4': 5763, -1: 5064, 'x0': 4207, 'x2': 1950, 'x1': 1375, -2: 90})","{'x4', 'x1', 'x0', 'x2', 'x3'}","Counter({1: 34488, 0: 4974})",0,26496,15796,15327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 3,2004,San Francisco,28317,2338,143,74,74,15950,2793,20634,0,0,359,495,2412,2338,0,"Counter({3: 15950, 1: 7162, 2: 2793, 0: 2412})",2412,25905,2412,True,False,1,"[[('x0', 'x1', 'x2', 'x3'), (16177, 4604, 3569, 1555)]]","('x0', 'x1', 'x2', 'x3')",x0,0,2338,"Counter({'x0': 16120, 'x1': 4581, 'x2': 3534, -1: 2476, 'x3': 1536, -2: 70})","{'x3', 'x1', 'x2', 'x0'}","Counter({1: 25905, 0: 2412})",0,20634,11129,11573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 5,2004,San Francisco,39255,3752,560,394,470,28457,2749,16493,0,0,364,883,13144,12674,5963,"Counter({3: 28457, 0: 4146, 1: 3903, 2: 2749})",4146,35109,7181,True,False,20,"[[('x0', 'x3', 'x6', 'x11', 'xd', 'xb', 'x15'), (11262, 5956, 4313, 3732, 2982, 2184, 2142)], [('x0', 'x3', 'x6', 'x11', 'xd', 'xb'), (11659, 6319, 4636, 3900, 3068, 2242)], [('x0', 'x3', 'x6', 'x11', 'xd'), (11921, 6409, 4759, 4063, 3601)], [('x0', 'x3', 'x6', 'x11'), (12287, 6636, 5064, 5041)], [('x0', 'x3', 'x6'), (13211, 7272, 5628)]]","('x0', 'x3', 'x6')",x0,0,6711,"Counter({'x0': 9928, 'x3': 5096, -1: 3927, 'x6': 3242, 'x11': 3007, 'xd': 2474, 'x15': 1659, 'xb': 1537, 'x8': 1393, 'x7': 971, 'x1': 860, 'xf': 825, 'x14': 792, 'x9': 684, 'xc': 654, 'x5': 412, 'x4': 390, -2: 373, 'xa': 365, 'x12': 332, 'x10': 129, 'xe': 87, 'x2': 61, 'x13': 57})","{'x7', 'x15', 'x3', 'x11', 'x1', 'x12', 'x14', 'x9', 'xa', 'x4', 'x10', 'x0', 'xe', 'x2', 'x6', 'xd', 'xc', 'x8', 'xb', 'xf', 'x13', 'x5'}","Counter({1: 35109, 0: 4146})",0,16493,6160,5939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 7,2004,San Francisco,34905,3030,348,236,276,22105,4278,16671,0,0,367,701,10580,10304,4237,"Counter({3: 22105, 1: 5256, 2: 4278, 0: 3266})",3266,31639,6343,True,False,12,"[[('x9', 'x2', 'xb', 'x5', 'xa', 'x6'), (11198, 7782, 3110, 3090, 2946, 2451)], [('x9', 'x2', 'x5', 'xb', 'xa'), (11827, 8490, 3300, 3263, 3110)], [('x9', 'x2', 'x5', 'xb'), (12446, 9160, 3799, 3533)], [('x9', 'x2', 'x5'), (13066, 9678, 4383)], [('x9', 'x2'), (13834, 10491)]]","('x9', 'x2')",x9,0,6067,"Counter({'x9': 10475, 'x2': 6764, -1: 3150, 'xb': 2717, 'xa': 2550, 'x5': 2359, 'x6': 2082, 'x1': 1103, 'x0': 968, 'x3': 760, 'x8': 541, 'xc': 507, 'x7': 349, 'x4': 348, -2: 232})","{'xa', 'xc', 'x4', 'x1', 'x0', 'xb', 'x8', 'x7', 'x2', 'x9', 'x3', 'x5', 'x6'}","Counter({1: 31639, 0: 3266})",0,16671,3343,3343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 9,2004,San Francisco,26275,1235,283,172,172,16142,4541,18851,0,0,402,666,1407,1235,0,"Counter({3: 16142, 2: 4541, 1: 4185, 0: 1407})",1407,24868,1407,True,False,1,"[[('x3', 'x2', 'x5', 'x4', 'x0', 'x1', 'x6'), (12592, 5497, 4346, 1027, 806, 583, 17)]]","('x3', 'x2', 'x5', 'x4', 'x0', 'x1', 'x6')",x3,0,1235,"Counter({'x3': 12547, 'x2': 5460, 'x5': 4318, -1: 1375, 'x4': 1018, 'x0': 798, 'x1': 575, -2: 167, 'x6': 17})","{'x4', 'x1', 'x0', 'x2', 'x3', 'x5', 'x6'}","Counter({1: 24868, 0: 1407})",0,18851,6803,7095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 11,2004,San Francisco,24902,1507,340,219,270,16395,2384,12366,0,0,434,748,6595,6325,2526,"Counter({3: 16395, 1: 4397, 2: 2384, 0: 1726})",1726,23176,4069,True,False,7,"[[('x5', 'x1', 'x2', 'x0', 'x6', 'x4'), (7637, 4884, 3080, 2989, 2356, 1946)], [('x5', 'x1', 'x2', 'x0', 'x6'), (7919, 5248, 3522, 3359, 2571)], [('x5', 'x1', 'x0', 'x2'), (8553, 5719, 3867, 3829)], [('x5', 'x1', 'x0'), (9256, 6760, 4683)], [('x5', 'x1'), (10679, 7628)]]","('x5', 'x1')",x5,0,3799,"Counter({'x5': 7427, 'x1': 4259, 'x0': 2852, 'x2': 2787, 'x6': 2279, 'x4': 1810, -1: 1655, 'x7': 1318, 'x3': 307, -2: 208})","{'x4', 'x1', 'x0', 'x7', 'x2', 'x3', 'x5', 'x6'}","Counter({1: 23176, 0: 1726})",0,12366,3051,3051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
