,ELLEN LEE ZHOU,JOEL VENTRESCA,LONDON N. BREED,MARC ROTH,PAUL YBARRA ROBERTSON,"ROBERT L. JORDAN, JR.",WILMA PANG,writeIns
first_choice,13.92,7.39,70.29,0.00,4.26,1.37,2.76,0.00
ELLEN LEE ZHOU,,13.60,13.07,0.00,22.82,12.25,29.99,0.00
JOEL VENTRESCA,9.79,,10.80,42.86,22.82,13.34,14.67,100.00
LONDON N. BREED,20.34,25.82,,14.29,14.15,13.87,12.42,0.00
MARC ROTH,0.00,0.02,0.00,,0.00,0.00,0.02,0.00
PAUL YBARRA ROBERTSON,14.96,13.35,6.33,0.00,,26.61,12.17,0.00
"ROBERT L. JORDAN, JR.",4.12,4.99,3.20,14.29,10.24,,11.15,0.00
WILMA PANG,21.78,13.47,5.03,14.29,9.72,13.55,,0.00
writeIns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
exhaust,29.00,28.76,61.57,14.29,20.26,20.38,19.57,0.00
