Ballots with first choice:,Number of Ballots,% of votes to ANNIE YOUNG,% of votes to JOHN ERWIN,% of votes to MEG FORNEY,% of votes to exhaust,percent_sum
ANNIE YOUNG,9294.0,100.0,0.0,0.0,0.0,100.0
CASPER HILL,1280.0,18.18,14.34,18.7,48.78,100.0
HASHIM YONIS,3762.0,10.29,0.0,6.38,83.33,100.0
ISHMAEL ISRAEL,3305.0,22.98,8.23,15.53,53.27,99.99999999999999
JASON STONE,5357.0,32.22,0.0,13.18,54.6,100.0
JOHN ERWIN,14678.0,0.7,98.14,0.23,0.93,100.0
MARY LYNN MCPHERSON,3373.0,31.19,0.0,23.72,45.09,100.0
MEG FORNEY,7856.0,0.0,0.0,100.0,0.0,100.0
STEVE BARLAND,3705.0,13.9,0.0,20.35,65.75,100.0
TOM NORDYKE,6511.0,15.28,0.0,17.0,67.72,100.0
writeIns,342.0,3.8,1.72,3.51,90.97,100.0
