Ballots with first choice:,Number of Ballots,"% of votes to Bowman, Manikka L.","% of votes to Dexter, Emily R.","% of votes to Nolan, Patricia M.","% of votes to Kimbrough, Laurance V.","% of votes to Fantini, Alfred B.","% of votes to Kelly, Kathleen M.",% of votes to exhaust,percent_sum
"Bowman, Manikka L.",2768.0,97.15,1.08,0.0,0.58,0.29,0.61,0.29,100.0
"Cronin, Fran A.",1572.0,0.0,0.0,0.0,17.94,0.0,35.69,46.37,100.0
"Crutchfield, Jake W.",1039.0,0.0,0.0,0.0,19.92,0.0,23.1,56.98,99.99999999999999
"Dexter, Emily R.",2378.0,0.0,94.95,0.0,1.35,1.14,1.26,1.3,100.0
"Fantini, Alfred B.",2728.0,0.0,0.0,0.0,0.51,97.8,1.36,0.33,100.0
"Kadete, Elechi M.",846.0,0.0,15.13,0.0,20.21,9.69,14.66,40.31,100.0
"Kelly, Kathleen M.",1882.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
"Kimbrough, Laurance V.",1856.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
"MacArthur, William",795.0,11.07,17.99,0.0,17.99,5.41,14.47,33.08,100.0
"Mitros, Piotr Flawiusz",511.0,13.31,23.68,0.0,14.87,4.31,13.11,30.72,100.0
"Nolan, Patricia M.",3458.0,3.15,3.15,85.57,0.98,1.45,3.73,1.97,100.0
"Weinstein, David J.",797.0,0.0,20.83,0.0,14.05,7.15,18.07,39.9,100.0
writeIns,78.0,6.41,5.13,0.0,3.85,2.56,1.28,80.77,99.99999999999999
