,"Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Tauber, Nancy","Turkel, Alice L.",writeIns
first_choice,2372.00,330.00,434.00,1851.00,388.00,1771.00,2126.00,2065.00,293.00,1490.00,2112.00,58.00
"Fantini, Alfred B.",,29.00,27.00,208.00,84.00,166.00,96.00,73.00,31.00,114.00,138.00,4.00
"Forster, Bill",114.00,,48.00,28.00,23.00,28.00,57.00,60.00,20.00,20.00,23.00,2.00
"Gerber, Joyce C.",78.00,96.00,,36.00,27.00,42.00,117.00,71.00,11.00,48.00,56.00,1.00
"Harding, Jr., Richard",389.00,18.00,47.00,,20.00,192.00,186.00,223.00,64.00,63.00,126.00,2.00
"Holland, John J.",157.00,15.00,30.00,52.00,,32.00,52.00,54.00,5.00,29.00,30.00,1.00
"McGovern, Marc C.",335.00,29.00,38.00,297.00,38.00,,331.00,219.00,17.00,188.00,266.00,0.00
"Nolan, Patricia M.",151.00,26.00,61.00,136.00,36.00,335.00,,372.00,10.00,217.00,375.00,2.00
"Osborne, Mervan F.",73.00,26.00,42.00,215.00,35.00,145.00,315.00,,33.00,181.00,206.00,2.00
"Stead, Sr., Charles Lewis",80.00,19.00,12.00,189.00,11.00,34.00,29.00,80.00,,12.00,25.00,1.00
"Tauber, Nancy",166.00,19.00,47.00,124.00,34.00,267.00,361.00,305.00,30.00,,563.00,0.00
"Turkel, Alice L.",186.00,18.00,32.00,170.00,20.00,299.00,344.00,315.00,21.00,442.00,,1.00
writeIns,4.00,1.00,0.00,2.00,0.00,1.00,3.00,2.00,1.00,0.00,2.00,
exhaust,639.00,34.00,50.00,394.00,60.00,230.00,235.00,291.00,50.00,176.00,302.00,42.00
