candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer
BEN GOULD,2.949,1744.0,26.0,2.998,1770.0,125.0,3.22,1895.0,400.0,3.92,2295.0,
ZACHARY RUNNINGWOLF,2.741,1621.0,39.0,2.812,1660.0,203.0,3.165,1863.0,188.0,3.503,2051.0,
NAOMI D. PETE,0.629,372.0,-372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LAURIE CAPITELLI,32.117,18995.0,63.0,32.279,19058.0,118.0,32.58,19176.0,225.0,33.139,19401.0,
BERNT RAINER WAHL,2.829,1673.0,21.0,2.869,1694.0,68.0,2.994,1762.0,-1762.0,0.0,0.0,
GUY ''MIKE'' LEE,1.613,954.0,34.0,1.673,988.0,-988.0,0.0,0.0,0.0,0.0,0.0,
KRISS WORTHINGTON,8.024,4746.0,46.0,8.116,4792.0,102.0,8.315,4894.0,405.0,9.051,5299.0,
JESSE ARREGUÍN,49.099,29039.0,41.0,49.253,29080.0,189.0,49.727,29269.0,230.0,50.387,29499.0,
exhaust,0.0,0.0,102.0,0.0,102.0,183.0,0.0,285.0,314.0,0.0,599.0,
colsum,100.00099999999999,59144.0,0.0,100.0,59144.0,0.0,100.00099999999999,59144.0,0.0,100.0,59144.0,
